address,city,state,zip,price,estimated_rent,rent_yield
4848 Hooker Street,Denver,CO,80221,480000,2578,0.0644
4201 Shoshone Street,Denver,CO,80211,450000,2208,0.0589
3250 Ames Street,Wheat Ridge,CO,80212,535000,2620,0.0588
4196 Chase Street,Denver,CO,80212,595000,2620,0.0528
5235 Dover Street,Arvada,CO,80002,485000,2062,0.051
5235 Dover Street,Arvada,CO,80002,485000,2062,0.051
4627 Burgundy Lane,Boulder,CO,80301,575000,2442,0.051
1542 Kilkenny Street,Boulder,CO,80303,565000,2393,0.0508
7075 Routt Street,Arvada,CO,80004,530000,2170,0.0491
6282 Yank Court,Arvada,CO,80004,535000,2170,0.0487
6282 Yank Court,Arvada,CO,80004,535000,2170,0.0487
5174 Dudley Street,Arvada,CO,80002,530000,2062,0.0467
9013 66th Place,Arvada,CO,80004,565000,2170,0.0461
11744 71st Place,Arvada,CO,80004,565000,2170,0.0461
9013 66th Place,Arvada,CO,80004,565000,2170,0.0461
9013 66th Place,Arvada,CO,80004,565000,2170,0.0461
6644 Kline Street,Arvada,CO,80004,575000,2170,0.0453
6644 Kline Street,Arvada,CO,80004,575000,2170,0.0453
5505 Brentwood Street,Arvada,CO,80002,555000,2062,0.0446
13784 67th Way,Arvada,CO,80004,585000,2170,0.0445
13784 67th Way,Arvada,CO,80004,585000,2170,0.0445
3220 24th Avenue,Denver,CO,80211,595000,2208,0.0445
11348 68th Way,Arvada,CO,80004,585000,2170,0.0445
5618 Carr Street,Arvada,CO,80002,559000,2062,0.0443
11029 65th Way,Arvada,CO,80004,589000,2170,0.0442
8487 62nd Place,Arvada,CO,80004,589900,2170,0.0441
11029 65th Way,Arvada,CO,80004,599000,2170,0.0435
9175 Cole Drive,Arvada,CO,80004,599900,2170,0.0434
6484 Allison Street,Arvada,CO,80004,600000,2170,0.0434
6580 Independence Way,Arvada,CO,80004,600000,2170,0.0434
6580 Independence Way,Arvada,CO,80004,600000,2170,0.0434
13778 71st Place,Arvada,CO,80004,599900,2170,0.0434
5946 Urban Street,Arvada,CO,80004,600000,2170,0.0434
6616 Zinnia Street,Arvada,CO,80004,610000,2170,0.0427
6779 Pierson Court,Arvada,CO,80004,615000,2170,0.0423
3746 Jason Street,Denver,CO,80211,630000,2208,0.0421
3929 Shoshone Street,Denver,CO,80211,639000,2208,0.0415
6373 Johnson Way,Arvada,CO,80004,629900,2170,0.0413
7181 Beech Street,Arvada,CO,80004,635000,2170,0.041
13806 66th Drive,Arvada,CO,80004,635000,2170,0.041
13806 66th Drive,Arvada,CO,80004,635000,2170,0.041
13648 66th Way,Arvada,CO,80004,635000,2170,0.041
7181 Beech Street,Arvada,CO,80004,635000,2170,0.041
13648 66th Way,Arvada,CO,80004,635000,2170,0.041
8105 62nd Avenue,Arvada,CO,80004,640000,2170,0.0407
12637 61st Place,Arvada,CO,80004,650000,2170,0.0401
5863 Queen Street,Arvada,CO,80004,649900,2170,0.0401
7053 Cody Drive,Arvada,CO,80004,650000,2170,0.0401
6666 Zang Street,Arvada,CO,80004,650000,2170,0.0401
7053 Cody Drive,Arvada,CO,80004,650000,2170,0.0401
6026 Iris Way,Arvada,CO,80004,659000,2170,0.0395
5862 Owens Street,Arvada,CO,80004,659500,2170,0.0395
6616 Zang Circle,Arvada,CO,80004,665000,2170,0.0392
11964 71st Place,Arvada,CO,80004,675000,2170,0.0386
8801 65th Avenue,Arvada,CO,80004,680000,2170,0.0383
8801 65th Avenue,Arvada,CO,80004,680000,2170,0.0383
6757 Lee Street,Arvada,CO,80004,685000,2170,0.038
6726 Taft Circle,Arvada,CO,80004,685000,2170,0.038
11197 64th Place,Arvada,CO,80004,690000,2170,0.0377
5329 Flower Circle,Arvada,CO,80002,659995,2062,0.0375
5329 Flower Circle,Arvada,CO,80002,659995,2062,0.0375
13773 68th Avenue,Arvada,CO,80004,699000,2170,0.0373
13474 65th Drive,Arvada,CO,80004,699900,2170,0.0372
6445 Balsam Street,Arvada,CO,80004,699900,2170,0.0372
6426 Zang Court,Arvada,CO,80004,700000,2170,0.0372
6020 Quail Street,Arvada,CO,80004,700000,2170,0.0372
5335 Allison Street,Arvada,CO,80002,675000,2062,0.0367
5600 Dover Street,Arvada,CO,80002,700000,2062,0.0354
5247 Bristol Street,Arvada,CO,80002,700000,2062,0.0354
7650 26th Avenue,Lakewood,CO,80214,625000,1706,0.0328
